Word,Attribute Name,Total Occurences,Document Occurences,,,,,,,,,,,,,,,,,,
adults,adults,172,170,,,,,,,,,,,,,,,,,,
advance,advance,234,232,,,,,,,,,,,,,,,,,,
advantage,advantage,214,208,,,,,,,,,,,,,,,,,,
adventure,adventure,106,104,,,,,,,,,,,,,,,,,,
adventurous,adventurous,202,198,,,,,,,,,,,,,,,,,,
advertised,advertised,172,170,,,,,,,,,,,,,,,,,,
advice,advice,258,256,,,,,,,,,,,,,,,,,,
advise,advise,116,114,,,,,,,,,,,,,,,,,,
advised,advised,156,146,,,,,,,,,,,,,,,,,,
afford,afford,120,118,,,,,,,,,,,,,,,,,,
affordable,affordable,884,862,,,,,,,,,,,,,,,,,,
afraid,afraid,204,202,,,,,,,,,,,,,,,,,,
afternoon,afternoon,930,870,,,,,,,,,,,,,,,,,,
afterwards,afterwards,264,254,,,,,,,,,,,,,,,,,,
age,age,184,180,,,,,,,,,,,,,,,,,,
aged,aged,256,204,,,,,,,,,,,,,,,,,,
ages,ages,136,132,,,,,,,,,,,,,,,,,,
agree,agree,582,570,,,,,,,,,,,,,,,,,,
agreed,agreed,334,318,,,,,,,,,,,,,,,,,,
ahead,ahead,850,808,,,,,,,,,,,,,,,,,,
ahi,ahi,208,176,,,,,,,,,,,,,,,,,,
ain,ain,146,142,,,,,,,,,,,,,,,,,,
aioli,aioli,264,226,,,,,,,,,,,,,,,,,,
air,air,428,404,,,,,,,,,,,,,,,,,,
airport,airport,470,384,,,,,,,,,,,,,,,,,,
airy,airy,128,126,,,,,,,,,,,,,,,,,,
aka,aka,144,140,,,,,,,,,,,,,,,,,,
alas,alas,136,136,,,,,,,,,,,,,,,,,,
alcohol,alcohol,616,576,,,,,,,,,,,,,,,,,,
alcoholic,alcoholic,268,254,,,,,,,,,,,,,,,,,,
ale,ale,192,172,,,,,,,,,,,,,,,,,,
alfredo,alfredo,320,274,,,,,,,,,,,,,,,,,,
alle,alle,282,266,,,,,,,,,,,,,,,,,,
allem,allem,226,208,,,,,,,,,,,,,,,,,,
allerdings,allerdings,224,178,,,,,,,,,,,,,,,,,,
allergic,allergic,108,100,,,,,,,,,,,,,,,,,,
allergies,allergies,114,100,,,,,,,,,,,,,,,,,,
alles,alles,576,470,,,,,,,,,,,,,,,,,,
allow,allow,274,274,,,,,,,,,,,,,,,,,,
allowed,allowed,304,286,,,,,,,,,,,,,,,,,,
almond,almond,294,248,,,,,,,,,,,,,,,,,,
almonds,almonds,102,100,,,,,,,,,,,,,,,,,,
alot,alot,366,342,,,,,,,,,,,,,,,,,,
alright,alright,712,660,,,,,,,,,,,,,,,,,,
als,als,818,598,,,,,,,,,,,,,,,,,,
alternative,alternative,356,348,,,,,,,,,,,,,,,,,,
amazed,amazed,196,194,,,,,,,,,,,,,,,,,,
amazing,amazing,10168,8876,,,,,,,,,,,,,,,,,,
amazingly,amazingly,310,310,,,,,,,,,,,,,,,,,,
ambiance,ambiance,2142,2074,,,,,,,,,,,,,,,,,,
ambience,ambience,704,686,,,,,,,,,,,,,,,,,,
ambiente,ambiente,438,418,,,,,,,,,,,,,,,,,,
america,america,268,222,,,,,,,,,,,,,,,,,,
americanized,americanized,184,172,,,,,,,,,,,,,,,,,,
amount,amount,2590,2420,,,,,,,,,,,,,,,,,,
amounts,amounts,156,152,,,,,,,,,,,,,,,,,,
ample,ample,198,188,,,,,,,,,,,,,,,,,,
andere,andere,124,118,,,,,,,,,,,,,,,,,,
anderen,anderen,180,164,,,,,,,,,,,,,,,,,,
andy,andy,154,142,,,,,,,,,,,,,,,,,,
angeles,angeles,124,120,,,,,,,,,,,,,,,,,,
angelo,angelo,158,102,,,,,,,,,,,,,,,,,,
angry,angry,152,142,,,,,,,,,,,,,,,,,,
anniversary,anniversary,340,280,,,,,,,,,,,,,,,,,,
annoyed,annoyed,244,232,,,,,,,,,,,,,,,,,,
annoying,annoying,404,392,,,,,,,,,,,,,,,,,,
answer,answer,314,304,,,,,,,,,,,,,,,,,,
answered,answered,218,216,,,,,,,,,,,,,,,,,,
anymore,anymore,576,556,,,,,,,,,,,,,,,,,,
anytime,anytime,346,342,,,,,,,,,,,,,,,,,,
anyway,anyway,904,878,,,,,,,,,,,,,,,,,,
anyways,anyways,356,340,,,,,,,,,,,,,,,,,,
anywhere,anywhere,1024,1000,,,,,,,,,,,,,,,,,,
apart,apart,512,504,,,,,,,,,,,,,,,,,,
apartment,apartment,108,108,,,,,,,,,,,,,,,,,,
apologetic,apologetic,130,130,,,,,,,,,,,,,,,,,,
apologize,apologize,150,146,,,,,,,,,,,,,,,,,,
apologized,apologized,272,258,,,,,,,,,,,,,,,,,,
apology,apology,196,186,,,,,,,,,,,,,,,,,,
app,app,590,510,,,,,,,,,,,,,,,,,,
apparently,apparently,750,724,,,,,,,,,,,,,,,,,,
appeal,appeal,112,112,,,,,,,,,,,,,,,,,,
appealing,appealing,240,230,,,,,,,,,,,,,,,,,,
appear,appear,172,166,,,,,,,,,,,,,,,,,,
appearance,appearance,160,156,,,,,,,,,,,,,,,,,,
appeared,appeared,288,280,,,,,,,,,,,,,,,,,,
appears,appears,270,266,,,,,,,,,,,,,,,,,,
appetite,appetite,352,348,,,,,,,,,,,,,,,,,,
appetizer,appetizer,2724,2418,,,,,,,,,,,,,,,,,,
appetizers,appetizers,1830,1660,,,,,,,,,,,,,,,,,,
appetizing,appetizing,190,190,,,,,,,,,,,,,,,,,,
apple,apple,704,588,,,,,,,,,,,,,,,,,,
apples,apples,110,102,,,,,,,,,,,,,,,,,,
appreciate,appreciate,634,606,,,,,,,,,,,,,,,,,,
appreciated,appreciated,420,418,,,,,,,,,,,,,,,,,,
approached,approached,108,106,,,,,,,,,,,,,,,,,,
appropriate,appropriate,156,154,,,,,,,,,,,,,,,,,,
approximately,approximately,116,110,,,,,,,,,,,,,,,,,,
apps,apps,384,354,,,,,,,,,,,,,,,,,,
area,area,7438,6480,,,,,,,,,,,,,,,,,,
areas,areas,228,224,,,,,,,,,,,,,,,,,,
argue,argue,122,118,,,,,,,,,,,,,,,,,,
aria,aria,192,154,,,,,,,,,,,,,,,,,,
arizona,arizona,604,562,,,,,,,,,,,,,,,,,,
aroma,aroma,188,176,,,,,,,,,,,,,,,,,,
array,array,190,190,,,,,,,,,,,,,,,,,,
arrival,arrival,200,200,,,,,,,,,,,,,,,,,,
arrive,arrive,644,602,,,,,,,,,,,,,,,,,,
arrived,arrived,2488,2158,,,,,,,,,,,,,,,,,,
arrives,arrives,146,138,,,,,,,,,,,,,,,,,,
arriving,arriving,156,154,,,,,,,,,,,,,,,,,,
art,art,476,446,,,,,,,,,,,,,,,,,,
artichoke,artichoke,308,284,,,,,,,,,,,,,,,,,,
arugula,arugula,292,256,,,,,,,,,,,,,,,,,,
asada,asada,944,684,,,,,,,,,,,,,,,,,,
asian,asian,1422,1146,,,,,,,,,,,,,,,,,,
aside,aside,380,372,,,,,,,,,,,,,,,,,,
ask,ask,4066,3664,,,,,,,,,,,,,,,,,,
asked,asked,5244,4290,,,,,,,,,,,,,,,,,,
asking,asking,792,750,,,,,,,,,,,,,,,,,,
asks,asks,106,102,,,,,,,,,,,,,,,,,,
asparagus,asparagus,456,392,,,,,,,,,,,,,,,,,,
aspect,aspect,108,108,,,,,,,,,,,,,,,,,,
ass,ass,358,336,,,,,,,,,,,,,,,,,,
assez,assez,132,100,,,,,,,,,,,,,,,,,,
assorted,assorted,122,112,,,,,,,,,,,,,,,,,,
assortment,assortment,232,220,,,,,,,,,,,,,,,,,,
assume,assume,246,234,,,,,,,,,,,,,,,,,,
assumed,assumed,164,162,,,,,,,,,,,,,,,,,,
assuming,assuming,120,120,,,,,,,,,,,,,,,,,,
assured,assured,132,128,,,,,,,,,,,,,,,,,,
ate,ate,3010,2836,,,,,,,,,,,,,,,,,,
atmosphere,atmosphere,6108,5886,,,,,,,,,,,,,,,,,,
atmosphã,atmosphã,180,178,,,,,,,,,,,,,,,,,,
attached,attached,168,164,,,,,,,,,,,,,,,,,,
attempt,attempt,210,202,,,,,,,,,,,,,,,,,,
attended,attended,134,132,,,,,,,,,,,,,,,,,,
attention,attention,962,914,,,,,,,,,,,,,,,,,,
attentive,attentive,3144,3086,,,,,,,,,,,,,,,,,,
attitude,attitude,804,738,,,,,,,,,,,,,,,,,,
attractive,attractive,166,160,,,,,,,,,,,,,,,,,,
auch,auch,2426,1336,,,,,,,,,,,,,,,,,,
auf,auf,1504,920,,,,,,,,,,,,,,,,,,
aufmerksam,aufmerksam,138,134,,,,,,,,,,,,,,,,,,
aus,aus,696,530,,,,,,,,,,,,,,,,,,
aussi,aussi,190,156,,,,,,,,,,,,,,,,,,
auswahl,auswahl,204,180,,,,,,,,,,,,,,,,,,
authentic,authentic,2812,2550,,,,,,,,,,,,,,,,,,
authenticity,authenticity,160,156,,,,,,,,,,,,,,,,,,
aux,aux,170,130,,,,,,,,,,,,,,,,,,
available,available,1504,1372,,,,,,,,,,,,,,,,,,
ave,ave,266,244,,,,,,,,,,,,,,,,,,
avec,avec,490,326,,,,,,,,,,,,,,,,,,
average,average,3008,2658,,,,,,,,,,,,,,,,,,
avocado,avocado,1174,988,,,,,,,,,,,,,,,,,,
avoid,avoid,856,808,,,,,,,,,,,,,,,,,,
avoided,avoided,106,102,,,,,,,,,,,,,,,,,,
aware,aware,246,242,,,,,,,,,,,,,,,,,,
awesome,awesome,6106,5566,,,,,,,,,,,,,,,,,,
awful,awful,1024,934,,,,,,,,,,,,,,,,,,
awhile,awhile,528,516,,,,,,,,,,,,,,,,,,
awkward,awkward,350,334,,,,,,,,,,,,,,,,,,
ayce,ayce,508,340,,,,,,,,,,,,,,,,,,
baba,baba,204,172,,,,,,,,,,,,,,,,,,
baby,baby,684,592,,,,,,,,,,,,,,,,,,
background,background,272,270,,,,,,,,,,,,,,,,,,
bacon,bacon,3622,2706,,,,,,,,,,,,,,,,,,
bad,bad,8286,7202,,,,,,,,,,,,,,,,,,
badly,badly,146,138,,,,,,,,,,,,,,,,,,
bag,bag,774,688,,,,,,,,,,,,,,,,,,
bagel,bagel,392,250,,,,,,,,,,,,,,,,,,
bagels,bagels,328,210,,,,,,,,,,,,,,,,,,
bags,bags,140,126,,,,,,,,,,,,,,,,,,
baguette,baguette,200,150,,,,,,,,,,,,,,,,,,
bake,bake,154,140,,,,,,,,,,,,,,,,,,
baked,baked,1556,1318,,,,,,,,,,,,,,,,,,
bakery,bakery,552,442,,,,,,,,,,,,,,,,,,
baklava,baklava,236,204,,,,,,,,,,,,,,,,,,
balance,balance,360,344,,,,,,,,,,,,,,,,,,
balanced,balanced,316,308,,,,,,,,,,,,,,,,,,
ball,ball,332,276,,,,,,,,,,,,,,,,,,
balls,balls,482,408,,,,,,,,,,,,,,,,,,
balsamic,balsamic,292,272,,,,,,,,,,,,,,,,,,
bamboo,bamboo,178,148,,,,,,,,,,,,,,,,,,
banana,banana,792,654,,,,,,,,,,,,,,,,,,
bananas,bananas,214,182,,,,,,,,,,,,,,,,,,
band,band,318,260,,,,,,,,,,,,,,,,,,
bang,bang,252,224,,,,,,,,,,,,,,,,,,
banh,banh,174,116,,,,,,,,,,,,,,,,,,
bank,bank,230,222,,,,,,,,,,,,,,,,,,
barbecue,barbecue,258,194,,,,,,,,,,,,,,,,,,
bare,bare,108,100,,,,,,,,,,,,,,,,,,
barely,barely,982,944,,,,,,,,,,,,,,,,,,
bargain,bargain,174,170,,,,,,,,,,,,,,,,,,
barrio,barrio,154,108,,,,,,,,,,,,,,,,,,
barrymore,barrymore,184,120,,,,,,,,,,,,,,,,,,
bars,bars,482,442,,,,,,,,,,,,,,,,,,
bartender,bartender,1300,1116,,,,,,,,,,,,,,,,,,
bartenders,bartenders,498,460,,,,,,,,,,,,,,,,,,
base,base,362,330,,,,,,,,,,,,,,,,,,
based,based,1430,1350,,,,,,,,,,,,,,,,,,
basement,basement,118,110,,,,,,,,,,,,,,,,,,
basic,basic,698,654,,,,,,,,,,,,,,,,,,
basically,basically,922,886,,,,,,,,,,,,,,,,,,
basics,basics,106,102,,,,,,,,,,,,,,,,,,
basil,basil,762,614,,,,,,,,,,,,,,,,,,
basis,basis,220,212,,,,,,,,,,,,,,,,,,
basket,basket,446,396,,,,,,,,,,,,,,,,,,
bass,bass,460,362,,,,,,,,,,,,,,,,,,
batch,batch,114,112,,,,,,,,,,,,,,,,,,
bathroom,bathroom,542,456,,,,,,,,,,,,,,,,,,
bathrooms,bathrooms,326,316,,,,,,,,,,,,,,,,,,
batter,batter,542,470,,,,,,,,,,,,,,,,,,
battered,battered,240,232,,,,,,,,,,,,,,,,,,
bay,bay,236,220,,,,,,,,,,,,,,,,,,
bbq,bbq,3574,2342,,,,,,,,,,,,,,,,,,
beach,beach,120,116,,,,,,,,,,,,,,,,,,
bean,bean,1032,894,,,,,,,,,,,,,,,,,,
beans,beans,2390,1882,,,,,,,,,,,,,,,,,,
beat,beat,860,848,,,,,,,,,,,,,,,,,,
beaten,beaten,104,102,,,,,,,,,,,,,,,,,,
beats,beats,170,168,,,,,,,,,,,,,,,,,,
beautiful,beautiful,1660,1552,,,,,,,,,,,,,,,,,,
beautifully,beautifully,438,422,,,,,,,,,,,,,,,,,,
became,became,296,292,,,,,,,,,,,,,,,,,,
become,become,610,598,,,,,,,,,,,,,,,,,,
becoming,becoming,126,126,,,,,,,,,,,,,,,,,,
bed,bed,332,322,,,,,,,,,,,,,,,,,,
bedienung,bedienung,642,550,,,,,,,,,,,,,,,,,,
bedienungen,bedienungen,102,100,,,,,,,,,,,,,,,,,,
beef,beef,7476,5458,,,,,,,,,,,,,,,,,,
beer,beer,5096,3702,,,,,,,,,,,,,,,,,,
beers,beers,1612,1362,,,,,,,,,,,,,,,,,,
beet,beet,218,192,,,,,,,,,,,,,,,,,,
beets,beets,174,146,,,,,,,,,,,,,,,,,,
began,began,208,200,,,,,,,,,,,,,,,,,,
begin,begin,330,324,,,,,,,,,,,,,,,,,,
beginning,beginning,272,266,,,,,,,,,,,,,,,,,,
bei,bei,592,466,,,,,,,,,,,,,,,,,,
beim,beim,244,216,,,,,,,,,,,,,,,,,,
bekommen,bekommen,126,116,,,,,,,,,,,,,,,,,,
bekommt,bekommt,110,100,,,,,,,,,,,,,,,,,,
believe,believe,1784,1704,,,,,,,,,,,,,,,,,,
bell,bell,476,426,,,,,,,,,,,,,,,,,,
belle,belle,132,112,,,,,,,,,,,,,,,,,,
belly,belly,740,588,,,,,,,,,,,,,,,,,,
benedict,benedict,744,614,,,,,,,,,,,,,,,,,,
benefit,benefit,120,120,,,,,,,,,,,,,,,,,,
benny,benny,208,166,,,,,,,,,,,,,,,,,,
bento,bento,338,238,,,,,,,,,,,,,,,,,,
ber,ber,276,256,,,,,,,,,,,,,,,,,,
berries,berries,132,118,,,,,,,,,,,,,,,,,,
berry,berry,138,126,,,,,,,,,,,,,,,,,,
besonders,besonders,122,116,,,,,,,,,,,,,,,,,,
besser,besser,172,160,,,,,,,,,,,,,,,,,,
beste,beste,130,124,,,,,,,,,,,,,,,,,,
bestellt,bestellt,172,148,,,,,,,,,,,,,,,,,,
besten,besten,110,102,,,,,,,,,,,,,,,,,,
besuch,besuch,200,176,,,,,,,,,,,,,,,,,,
bet,bet,286,274,,,,,,,,,,,,,,,,,,
beverage,beverage,224,212,,,,,,,,,,,,,,,,,,
beverages,beverages,246,240,,,,,,,,,,,,,,,,,,
beware,beware,260,256,,,,,,,,,,,,,,,,,,
bien,bien,390,282,,,,,,,,,,,,,,,,,,
bier,bier,128,114,,,,,,,,,,,,,,,,,,
big,big,6358,5578,,,,,,,,,,,,,,,,,,
bigger,bigger,718,700,,,,,,,,,,,,,,,,,,
biggest,biggest,428,424,,,,,,,,,,,,,,,,,,
bill,bill,1960,1722,,,,,,,,,,,,,,,,,,
bin,bin,234,212,,,,,,,,,,,,,,,,,,
birthday,birthday,1578,1240,,,,,,,,,,,,,,,,,,
biryani,biryani,208,144,,,,,,,,,,,,,,,,,,
bis,bis,316,250,,,,,,,,,,,,,,,,,,
biscuit,biscuit,378,298,,,,,,,,,,,,,,,,,,
biscuits,biscuits,520,416,,,,,,,,,,,,,,,,,,
bisque,bisque,258,216,,,,,,,,,,,,,,,,,,
bistro,bistro,436,376,,,,,,,,,,,,,,,,,,
bit,bit,9128,7616,,,,,,,,,,,,,,,,,,
bite,bite,2400,2178,,,,,,,,,,,,,,,,,,
bites,bites,702,652,,,,,,,,,,,,,,,,,,
bits,bits,424,394,,,,,,,,,,,,,,,,,,
bitter,bitter,278,258,,,,,,,,,,,,,,,,,,
black,black,1528,1318,,,,,,,,,,,,,,,,,,
blackened,blackened,154,136,,,,,,,,,,,,,,,,,,
blah,blah,280,208,,,,,,,,,,,,,,,,,,
blame,blame,162,154,,,,,,,,,,,,,,,,,,
bland,bland,2724,2448,,,,,,,,,,,,,,,,,,
blast,blast,142,132,,,,,,,,,,,,,,,,,,
blend,blend,298,288,,,,,,,,,,,,,,,,,,
blended,blended,128,126,,,,,,,,,,,,,,,,,,
bleu,bleu,152,138,,,,,,,,,,,,,,,,,,
blew,blew,160,158,,,,,,,,,,,,,,,,,,
block,block,304,294,,,,,,,,,,,,,,,,,,
blocks,blocks,184,172,,,,,,,,,,,,,,,,,,
blood,blood,138,128,,,,,,,,,,,,,,,,,,
bloody,bloody,380,334,,,,,,,,,,,,,,,,,,
bloor,bloor,140,124,,,,,,,,,,,,,,,,,,
blossom,blossom,132,120,,,,,,,,,,,,,,,,,,
blow,blow,202,196,,,,,,,,,,,,,,,,,,
blowing,blowing,146,144,,,,,,,,,,,,,,,,,,
blown,blown,358,356,,,,,,,,,,,,,,,,,,
blt,blt,210,180,,,,,,,,,,,,,,,,,,
blue,blue,810,726,,,,,,,,,,,,,,,,,,
blueberry,blueberry,256,224,,,,,,,,,,,,,,,,,,
blvd,blvd,126,124,,,,,,,,,,,,,,,,,,
board,board,466,422,,,,,,,,,,,,,,,,,,
boat,boat,182,156,,,,,,,,,,,,,,,,,,
body,body,148,148,,,,,,,,,,,,,,,,,,
boiled,boiled,252,226,,,,,,,,,,,,,,,,,,
bold,bold,138,130,,,,,,,,,,,,,,,,,,
bolognese,bolognese,140,122,,,,,,,,,,,,,,,,,,
bomb,bomb,580,560,,,,,,,,,,,,,,,,,,
bon,bon,512,380,,,,,,,,,,,,,,,,,,
bone,bone,834,716,,,,,,,,,,,,,,,,,,
boneless,boneless,174,160,,,,,,,,,,,,,,,,,,
bones,bones,248,222,,,,,,,,,,,,,,,,,,
bonne,bonne,224,186,,,,,,,,,,,,,,,,,,
bonus,bonus,400,392,,,,,,,,,,,,,,,,,,
book,book,560,532,,,,,,,,,,,,,,,,,,
booked,booked,168,156,,,,,,,,,,,,,,,,,,
books,books,104,100,,,,,,,,,,,,,,,,,,
boot,boot,118,118,,,,,,,,,,,,,,,,,,
booth,booth,592,518,,,,,,,,,,,,,,,,,,
booths,booths,458,424,,,,,,,,,,,,,,,,,,
booze,booze,182,174,,,,,,,,,,,,,,,,,,
bored,bored,104,104,,,,,,,,,,,,,,,,,,
boring,boring,458,430,,,,,,,,,,,,,,,,,,
born,born,102,100,,,,,,,,,,,,,,,,,,
boss,boss,160,150,,,,,,,,,,,,,,,,,,
boston,boston,136,114,,,,,,,,,,,,,,,,,,
bother,bother,478,472,,,,,,,,,,,,,,,,,,
bothered,bothered,196,194,,,,,,,,,,,,,,,,,,
bottle,bottle,1090,942,,,,,,,,,,,,,,,,,,
bottled,bottled,184,178,,,,,,,,,,,,,,,,,,
bottles,bottles,452,428,,,,,,,,,,,,,,,,,,
bottom,bottom,680,650,,,,,,,,,,,,,,,,,,
bought,bought,690,648,,,,,,,,,,,,,,,,,,
bourbon,bourbon,132,122,,,,,,,,,,,,,,,,,,
bowl,bowl,2220,1770,,,,,,,,,,,,,,,,,,
bowls,bowls,386,354,,,,,,,,,,,,,,,,,,
box,box,1024,890,,,,,,,,,,,,,,,,,,
boxes,boxes,270,258,,,,,,,,,,,,,,,,,,
boy,boy,850,760,,,,,,,,,,,,,,,,,,
boyfriend,boyfriend,1840,1436,,,,,,,,,,,,,,,,,,
boys,boys,244,214,,,,,,,,,,,,,,,,,,
braised,braised,390,348,,,,,,,,,,,,,,,,,,
branch,branch,148,132,,,,,,,,,,,,,,,,,,
brand,brand,250,234,,,,,,,,,,,,,,,,,,
brat,brat,250,152,,,,,,,,,,,,,,,,,,
brats,brats,152,120,,,,,,,,,,,,,,,,,,
bread,bread,5980,4646,,,,,,,,,,,,,,,,,,
breaded,breaded,302,284,,,,,,,,,,,,,,,,,,
breading,breading,254,236,,,,,,,,,,,,,,,,,,
breads,breads,266,252,,,,,,,,,,,,,,,,,,
breadsticks,breadsticks,142,100,,,,,,,,,,,,,,,,,,
break,break,670,644,,,,,,,,,,,,,,,,,,
breakfast,breakfast,6610,4610,,,,,,,,,,,,,,,,,,
breakfasts,breakfasts,168,156,,,,,,,,,,,,,,,,,,
breast,breast,524,468,,,,,,,,,,,,,,,,,,
breath,breath,108,106,,,,,,,,,,,,,,,,,,
brew,brew,200,180,,,,,,,,,,,,,,,,,,
brewed,brewed,110,106,,,,,,,,,,,,,,,,,,
brewery,brewery,124,102,,,,,,,,,,,,,,,,,,
brews,brews,164,142,,,,,,,,,,,,,,,,,,
brick,brick,196,180,,,,,,,,,,,,,,,,,,
brie,brie,240,200,,,,,,,,,,,,,,,,,,
bright,bright,572,554,,,,,,,,,,,,,,,,,,
brilliant,brilliant,124,122,,,,,,,,,,,,,,,,,,
bring,bring,2510,2384,,,,,,,,,,,,,,,,,,
bringing,bringing,346,340,,,,,,,,,,,,,,,,,,
brings,brings,264,258,,,,,,,,,,,,,,,,,,
brioche,brioche,122,108,,,,,,,,,,,,,,,,,,
brisket,brisket,1356,950,,,,,,,,,,,,,,,,,,
broccoli,broccoli,718,598,,,,,,,,,,,,,,,,,,
broke,broke,124,124,,,,,,,,,,,,,,,,,,
broken,broken,262,244,,,,,,,,,,,,,,,,,,
broth,broth,1412,1064,,,,,,,,,,,,,,,,,,
brother,brother,378,316,,,,,,,,,,,,,,,,,,
brought,brought,2868,2510,,,,,,,,,,,,,,,,,,
brown,brown,904,822,,,,,,,,,,,,,,,,,,
brownie,brownie,178,148,,,,,,,,,,,,,,,,,,
browns,browns,470,412,,,,,,,,,,,,,,,,,,
brulee,brulee,304,230,,,,,,,,,,,,,,,,,,
brunch,brunch,2208,1612,,,,,,,,,,,,,,,,,,
bruschetta,bruschetta,314,260,,,,,,,,,,,,,,,,,,
brã,brã,164,144,,,,,,,,,,,,,,,,,,
btw,btw,248,244,,,,,,,,,,,,,,,,,,
bubble,bubble,142,112,,,,,,,,,,,,,,,,,,
buck,buck,304,290,,,,,,,,,,,,,,,,,,
bucket,bucket,144,142,,,,,,,,,,,,,,,,,,
bucks,bucks,852,778,,,,,,,,,,,,,,,,,,
buddy,buddy,168,148,,,,,,,,,,,,,,,,,,
budget,budget,288,272,,,,,,,,,,,,,,,,,,
buds,buds,324,318,,,,,,,,,,,,,,,,,,
buffalo,buffalo,638,522,,,,,,,,,,,,,,,,,,
buffet,buffet,2404,1518,,,,,,,,,,,,,,,,,,
buffets,buffets,290,248,,,,,,,,,,,,,,,,,,
build,build,204,192,,,,,,,,,,,,,,,,,,
building,building,880,792,,,,,,,,,,,,,,,,,,
built,built,134,132,,,,,,,,,,,,,,,,,,
bulgogi,bulgogi,126,104,,,,,,,,,,,,,,,,,,
bummer,bummer,156,152,,,,,,,,,,,,,,,,,,
bun,bun,1346,1070,,,,,,,,,,,,,,,,,,
bunch,bunch,750,740,,,,,,,,,,,,,,,,,,
buns,buns,566,458,,,,,,,,,,,,,,,,,,
burger,burger,9064,4634,,,,,,,,,,,,,,,,,,
burgers,burgers,3512,2730,,,,,,,,,,,,,,,,,,
burn,burn,126,126,,,,,,,,,,,,,,,,,,
burned,burned,202,176,,,,,,,,,,,,,,,,,,
burning,burning,116,104,,,,,,,,,,,,,,,,,,
burnt,burnt,704,610,,,,,,,,,,,,,,,,,,
burrito,burrito,2514,1648,,,,,,,,,,,,,,,,,,
burritos,burritos,722,616,,,,,,,,,,,,,,,,,,
bus,bus,234,218,,,,,,,,,,,,,,,,,,
busier,busier,116,114,,,,,,,,,,,,,,,,,,
business,business,2772,2502,,,,,,,,,,,,,,,,,,
businesses,businesses,246,242,,,,,,,,,,,,,,,,,,
busy,busy,4632,4274,,,,,,,,,,,,,,,,,,
butter,butter,2008,1632,,,,,,,,,,,,,,,,,,
butternut,butternut,150,130,,,,,,,,,,,,,,,,,,
buttery,buttery,352,346,,,,,,,,,,,,,,,,,,
buy,buy,924,888,,,,,,,,,,,,,,,,,,
buying,buying,210,208,,,,,,,,,,,,,,,,,,
buzz,buzz,110,106,,,,,,,,,,,,,,,,,,
byob,byob,166,156,,,,,,,,,,,,,,,,,,
cab,cab,114,100,,,,,,,,,,,,,,,,,,
cabbage,cabbage,492,392,,,,,,,,,,,,,,,,,,
caesar,caesar,628,516,,,,,,,,,,,,,,,,,,
cafe,cafe,2150,1650,,,,,,,,,,,,,,,,,,
cafeteria,cafeteria,256,236,,,,,,,,,,,,,,,,,,
cafã,cafã,460,316,,,,,,,,,,,,,,,,,,
cajun,cajun,342,276,,,,,,,,,,,,,,,,,,
cake,cake,2970,1930,,,,,,,,,,,,,,,,,,
